5 : 0 : 5
5 : 4 : 3
6 : 2 : 9
1 : 1 : 2
8 : 7 : 1
9 : 2 : 8
1 : 10 : 0
3 : 4 : 2
10 : 9 : 8
0 : 0 : 5
4 : 5 : 4
2 : 4 : 10
2 : 9 : 10
6 : 9 : 1
3 : 3 : 3
9 : 10 : 5
4 : 2 : 2
2 : 3 : 1
2 : 0 : 8
10 : 0 : 0
7 : 3 : 2
3 : 0 : 7
0 : 0 : 3
6 : 10 : 5
9 : 6 : 4
7 : 7 : 0
4 : 4 : 3
8 : 7 : 0
9 : 1 : 4
1 : 2 : 3
1 : 6 : 8
3 : 6 : 5
4 : 2 : 1
7 : 0 : 5
8 : 6 : 7
7 : 2 : 10
3 : 10 : 8
10 : 0 : 4
1 : 4 : 5
10 : 0 : 4
4 : 2 : 8
5 : 1 : 3
6 : 5 : 9
8 : 1 : 7
5 : 8 : 1
1 : 4 : 8
1 : 2 : 3
3 : 9 : 5
2 : 5 : 4
3 : 2 : 2
