Alumno 0:4:9:5
Alumno 1:4:7:9
Alumno 2:3:9:0
Alumno 3:4:9:6
Alumno 4:2:7:6
Alumno 5:8:0:8
Alumno 6:8:6:4
Alumno 7:4:6:5
Alumno 8:10:2:9
Alumno 9:1:9:5
Alumno 10:7:1:1
Alumno 11:2:6:1
Alumno 12:0:3:4
Alumno 14:1:7:10
Alumno 15:1:9:4
Alumno 16:6:4:6
Alumno 17:9:2:9
Alumno 18:6:5:0
Alumno 19:4:4:6
Alumno 20:5:4:9
Alumno 22:5:3:5
Alumno 23:3:3:2
Alumno 24:4:8:9
Alumno 25:4:1:6
Alumno 26:2:8:2
Alumno 28:1:9:0
Alumno 29:4:2:1
Alumno 30:1:6:3
Alumno 31:5:10:1
Alumno 33:8:4:4
Alumno 34:4:5:6
Alumno 35:1:3:1
Alumno 37:5:0:3
Alumno 39:4:0:5
Alumno 40:7:6:3
Alumno 41:4:7:10
Alumno 42:2:7:9
Alumno 43:8:3:6
Alumno 44:2:1:2
Alumno 46:4:10:7
Alumno 48:6:3:2
Alumno 49:3:5:9
Alumno 50:6:2:7
